"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0002347"	"response to tumor cell"	18	2	0.48	"0.15014"
"GO:0031571"	"mitotic G1 DNA damage checkpoint"	60	3	1.61	"0.15019"
"GO:0034030"	"ribonucleoside bisphosphate biosynthetic..."	62	3	1.66	"0.15021"
"GO:0034033"	"purine nucleoside bisphosphate biosynthe..."	62	3	1.66	"0.15021"
"GO:0051222"	"positive regulation of protein transport"	290	9	7.77	"0.15025"
"GO:0043489"	"RNA stabilization"	40	2	1.07	"0.15038"
"GO:0033044"	"regulation of chromosome organization"	314	9	8.41	"0.15052"
"GO:0007178"	"transmembrane receptor protein serine/th..."	302	8	8.09	"0.15079"
"GO:0048285"	"organelle fission"	400	9	10.72	"0.15146"
"GO:0045638"	"negative regulation of myeloid cell diff..."	63	4	1.69	"0.15238"
"GO:1900027"	"regulation of ruffle assembly"	26	2	0.7	"0.15308"
"GO:0070911"	"global genome nucleotide-excision repair"	26	2	0.7	"0.15308"
"GO:0001958"	"endochondral ossification"	26	2	0.7	"0.15308"
"GO:0034446"	"substrate adhesion-dependent cell spread..."	93	4	2.49	"0.15622"
"GO:0071356"	"cellular response to tumor necrosis fact..."	217	8	5.81	"0.15630"
"GO:0051591"	"response to cAMP"	78	4	2.09	"0.15661"
"GO:0031145"	"anaphase-promoting complex-dependent cat..."	79	4	2.12	"0.16173"
"GO:0090263"	"positive regulation of canonical Wnt sig..."	137	6	3.67	"0.16222"
"GO:0033363"	"secretory granule organization"	27	2	0.72	"0.16255"
"GO:0071549"	"cellular response to dexamethasone stimu..."	27	2	0.72	"0.16255"
"GO:0002755"	"MyD88-dependent toll-like receptor signa..."	27	2	0.72	"0.16255"
"GO:0032201"	"telomere maintenance via semi-conservati..."	27	2	0.72	"0.16255"
"GO:0045736"	"negative regulation of cyclin-dependent ..."	27	2	0.72	"0.16255"
"GO:0060261"	"positive regulation of transcription ini..."	27	2	0.72	"0.16255"
"GO:0009615"	"response to virus"	249	5	6.67	"0.16579"
"GO:0001932"	"regulation of protein phosphorylation"	1158	34	31.03	"0.17068"
"GO:0034101"	"erythrocyte homeostasis"	107	7	2.87	"0.17167"
"GO:1990748"	"cellular detoxification"	75	6	2.01	"0.17174"
"GO:0051281"	"positive regulation of release of seques..."	28	2	0.75	"0.17212"
"GO:0032436"	"positive regulation of proteasomal ubiqu..."	81	4	2.17	"0.17214"
"GO:1903707"	"negative regulation of hemopoiesis"	107	5	2.87	"0.17259"
"GO:0050857"	"positive regulation of antigen receptor-..."	17	2	0.46	"0.17286"
"GO:0034312"	"diol biosynthetic process"	20	2	0.54	"0.17289"
"GO:0032799"	"low-density lipoprotein receptor particl..."	21	2	0.56	"0.17291"
"GO:0003018"	"vascular process in circulatory system"	144	5	3.86	"0.17304"
"GO:0045143"	"homologous chromosome segregation"	38	2	1.02	"0.17311"
"GO:0023061"	"signal release"	442	9	11.84	"0.17368"
"GO:0045669"	"positive regulation of osteoblast differ..."	54	3	1.45	"0.17580"
"GO:0006936"	"muscle contraction"	276	7	7.4	"0.17782"
"GO:0042493"	"response to drug"	326	12	8.74	"0.17989"
"GO:0060325"	"face morphogenesis"	29	2	0.78	"0.18178"
"GO:0046326"	"positive regulation of glucose import"	30	2	0.8	"0.19152"
"GO:1903955"	"positive regulation of protein targeting..."	30	2	0.8	"0.19152"
"GO:0050850"	"positive regulation of calcium-mediated ..."	30	2	0.8	"0.19152"
"GO:0048705"	"skeletal system morphogenesis"	176	5	4.72	"0.19229"
"GO:0032774"	"RNA biosynthetic process"	3036	86	81.35	"0.19284"
"GO:0070997"	"neuron death"	312	13	8.36	"0.19337"
"GO:0048246"	"macrophage chemotaxis"	31	4	0.83	"0.19415"
"GO:0061448"	"connective tissue development"	209	8	5.6	"0.19453"
"GO:0019218"	"regulation of steroid metabolic process"	103	5	2.76	"0.19462"
"GO:0014037"	"Schwann cell differentiation"	36	3	0.96	"0.19473"
"GO:0060548"	"negative regulation of cell death"	809	30	21.68	"0.19477"
"GO:0050994"	"regulation of lipid catabolic process"	41	3	1.1	"0.19479"
"GO:0060396"	"growth hormone receptor signaling pathwa..."	18	2	0.48	"0.19499"
"GO:0036010"	"protein localization to endosome"	23	2	0.62	"0.19505"
"GO:0043242"	"negative regulation of protein-containin..."	65	3	1.74	"0.19512"
"GO:0051926"	"negative regulation of calcium ion trans..."	42	2	1.13	"0.19531"
"GO:0016202"	"regulation of striated muscle tissue dev..."	112	3	3	"0.19576"
"GO:0071322"	"cellular response to carbohydrate stimul..."	121	3	3.24	"0.19588"
"GO:0018394"	"peptidyl-lysine acetylation"	158	3	4.23	"0.19639"
"GO:1902600"	"proton transmembrane transport"	104	6	2.79	"0.19709"
"GO:0042326"	"negative regulation of phosphorylation"	394	8	10.56	"0.19709"
"GO:0006446"	"regulation of translational initiation"	71	4	1.9	"0.20053"
"GO:0042551"	"neuron maturation"	41	3	1.1	"0.20070"
"GO:0050810"	"regulation of steroid biosynthetic proce..."	81	4	2.17	"0.20076"
"GO:0060348"	"bone development"	172	8	4.61	"0.20080"
"GO:0006370"	"7-methylguanosine mRNA capping"	31	2	0.83	"0.20133"
"GO:0045292"	"mRNA cis splicing, via spliceosome"	31	2	0.83	"0.20133"
"GO:0042908"	"xenobiotic transport"	31	2	0.83	"0.20133"
"GO:0050890"	"cognition"	262	5	7.02	"0.20414"
"GO:0051384"	"response to glucocorticoid"	115	5	3.08	"0.20940"
"GO:0033043"	"regulation of organelle organization"	1144	33	30.66	"0.21001"
"GO:0070126"	"mitochondrial translational termination"	88	4	2.36	"0.21027"
"GO:0015914"	"phospholipid transport"	68	3	1.82	"0.21116"
"GO:0021591"	"ventricular system development"	32	2	0.86	"0.21119"
"GO:0034250"	"positive regulation of cellular amide me..."	145	9	3.89	"0.21450"
"GO:0033157"	"regulation of intracellular protein tran..."	238	10	6.38	"0.21532"
"GO:0051702"	"interaction with symbiont"	60	4	1.61	"0.21603"
"GO:0032094"	"response to food"	25	3	0.67	"0.21606"
"GO:0070665"	"positive regulation of leukocyte prolife..."	100	5	2.68	"0.21606"
"GO:0042770"	"signal transduction in response to DNA d..."	121	5	3.24	"0.21638"
"GO:0061036"	"positive regulation of cartilage develop..."	27	2	0.72	"0.21665"
"GO:1901224"	"positive regulation of NIK/NF-kappaB sig..."	60	3	1.61	"0.21700"
"GO:1902652"	"secondary alcohol metabolic process"	129	4	3.46	"0.21705"
"GO:0022406"	"membrane docking"	177	5	4.74	"0.21721"
"GO:0006626"	"protein targeting to mitochondrion"	90	6	2.41	"0.21880"
"GO:0016569"	"covalent chromatin modification"	428	8	11.47	"0.21934"
"GO:0006082"	"organic acid metabolic process"	923	20	24.73	"0.22019"
"GO:0046579"	"positive regulation of Ras protein signa..."	54	3	1.45	"0.22070"
"GO:0120009"	"intermembrane lipid transfer"	33	2	0.88	"0.22110"
"GO:0010212"	"response to ionizing radiation"	130	9	3.48	"0.22677"
"GO:0070498"	"interleukin-1-mediated signaling pathway"	91	4	2.44	"0.22729"
"GO:0051091"	"positive regulation of DNA-binding trans..."	223	7	5.98	"0.22809"
"GO:0043085"	"positive regulation of catalytic activit..."	1211	35	32.45	"0.22948"
"GO:1901216"	"positive regulation of neuron death"	83	4	2.22	"0.23039"
"GO:1902895"	"positive regulation of pri-miRNA transcr..."	34	2	0.91	"0.23105"
"GO:0071230"	"cellular response to amino acid stimulus"	62	3	1.66	"0.23116"
"GO:0051017"	"actin filament bundle assembly"	135	4	3.62	"0.23173"
"GO:0036294"	"cellular response to decreased oxygen le..."	184	8	4.93	"0.23652"
"GO:0000460"	"maturation of 5.8S rRNA"	35	3	0.94	"0.23713"
"GO:0043279"	"response to alkaloid"	92	4	2.47	"0.23745"
"GO:0098761"	"cellular response to interleukin-7"	24	2	0.64	"0.23756"
"GO:0050881"	"musculoskeletal movement"	42	2	1.13	"0.23784"
"GO:0070669"	"response to interleukin-2"	10	1	0.27	"0.23793"
"GO:0070672"	"response to interleukin-15"	10	1	0.27	"0.23793"
"GO:0015937"	"coenzyme A biosynthetic process"	10	1	0.27	"0.23793"
"GO:0001731"	"formation of translation preinitiation c..."	10	1	0.27	"0.23793"
"GO:0015074"	"DNA integration"	10	1	0.27	"0.23793"
"GO:0090649"	"response to oxygen-glucose deprivation"	10	1	0.27	"0.23793"
"GO:0019731"	"antibacterial humoral response"	10	1	0.27	"0.23793"
"GO:0021859"	"pyramidal neuron differentiation"	10	1	0.27	"0.23793"
"GO:0034356"	"NAD biosynthesis via nicotinamide ribosi..."	10	1	0.27	"0.23793"
"GO:0034375"	"high-density lipoprotein particle remode..."	10	1	0.27	"0.23793"
