"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Statistics"
"GO:0098868"	"bone growth"	24	2	0.18	"0.02262"
"GO:0034204"	"lipid translocation"	31	2	0.24	"0.02264"
"GO:0006026"	"aminoglycan catabolic process"	47	2	0.36	"0.02267"
"GO:0002792"	"negative regulation of peptide secretion"	54	2	0.41	"0.02268"
"GO:1903793"	"positive regulation of anion transport"	31	2	0.24	"0.02342"
"GO:1902042"	"negative regulation of extrinsic apoptot..."	31	2	0.24	"0.02342"
"GO:0006954"	"inflammatory response"	375	10	2.88	"0.02540"
"GO:1901998"	"toxin transport"	34	2	0.26	"0.02785"
"GO:0099054"	"presynapse assembly"	34	2	0.26	"0.02785"
"GO:0007267"	"cell-cell signaling"	1160	10	8.9	"0.02851"
"GO:0051962"	"positive regulation of nervous system de..."	410	9	3.15	"0.02861"
"GO:0032675"	"regulation of interleukin-6 production"	63	5	0.48	"0.02912"
"GO:0045940"	"positive regulation of steroid metabolic..."	16	3	0.12	"0.02969"
"GO:0046850"	"regulation of bone remodeling"	32	2	0.25	"0.03007"
"GO:0050918"	"positive chemotaxis"	36	2	0.28	"0.03097"
"GO:0001658"	"branching involved in ureteric bud morph..."	37	2	0.28	"0.03257"
"GO:0048167"	"regulation of synaptic plasticity"	152	4	1.17	"0.03341"
"GO:0098869"	"cellular oxidant detoxification"	56	3	0.43	"0.03524"
"GO:0071333"	"cellular response to glucose stimulus"	94	3	0.72	"0.03548"
"GO:0006904"	"vesicle docking involved in exocytosis"	39	2	0.3	"0.03589"
"GO:0003018"	"vascular process in circulatory system"	101	5	0.77	"0.03639"
"GO:0010466"	"negative regulation of peptidase activit..."	129	4	0.99	"0.03690"
"GO:0009914"	"hormone transport"	199	4	1.53	"0.03713"
"GO:0007586"	"digestion"	50	2	0.38	"0.03750"
"GO:0019083"	"viral transcription"	169	4	1.3	"0.04084"
"GO:0045540"	"regulation of cholesterol biosynthetic p..."	42	2	0.32	"0.04109"
"GO:0048844"	"artery morphogenesis"	42	2	0.32	"0.04109"
"GO:0034698"	"response to gonadotropin"	16	2	0.12	"0.04470"
"GO:0046885"	"regulation of hormone biosynthetic proce..."	16	2	0.12	"0.04470"
"GO:0010743"	"regulation of macrophage derived foam ce..."	16	2	0.12	"0.04470"
"GO:0002286"	"T cell activation involved in immune res..."	45	2	0.35	"0.04656"
"GO:0071222"	"cellular response to lipopolysaccharide"	106	3	0.81	"0.04786"
"GO:0009617"	"response to bacterium"	275	5	2.11	"0.04904"
"GO:0007601"	"visual perception"	110	3	0.84	"0.05240"
"GO:0043524"	"negative regulation of neuron apoptotic ..."	111	3	0.85	"0.05356"
"GO:0045600"	"positive regulation of fat cell differen..."	49	2	0.38	"0.05424"
"GO:0006906"	"vesicle fusion"	85	4	0.65	"0.05427"
"GO:0030900"	"forebrain development"	290	5	2.22	"0.05488"
"GO:0055094"	"response to lipoprotein particle"	20	2	0.15	"0.05917"
"GO:0030031"	"cell projection assembly"	466	3	3.57	"0.06081"
"GO:0009306"	"protein secretion"	289	7	2.22	"0.06224"
"GO:1901031"	"regulation of response to reactive oxyge..."	27	3	0.21	"0.06561"
"GO:0034377"	"plasma lipoprotein particle assembly"	19	2	0.15	"0.06630"
"GO:0022406"	"membrane docking"	169	3	1.3	"0.06641"
"GO:0010951"	"negative regulation of endopeptidase act..."	124	3	0.95	"0.07226"
"GO:0048545"	"response to steroid hormone"	240	5	1.84	"0.07229"
"GO:1900744"	"regulation of p38MAPK cascade"	29	2	0.22	"0.07345"
"GO:0002067"	"glandular epithelial cell differentiatio..."	29	2	0.22	"0.07345"
"GO:0010596"	"negative regulation of endothelial cell ..."	34	2	0.26	"0.07348"
"GO:0034982"	"mitochondrial protein processing"	10	1	0.08	"0.07415"
"GO:0002577"	"regulation of antigen processing and pre..."	10	1	0.08	"0.07415"
"GO:0060004"	"reflex"	10	1	0.08	"0.07415"
"GO:1900272"	"negative regulation of long-term synapti..."	10	1	0.08	"0.07415"
"GO:0000447"	"endonucleolytic cleavage in ITS1 to sepa..."	10	1	0.08	"0.07415"
"GO:0042481"	"regulation of odontogenesis"	10	1	0.08	"0.07415"
"GO:2000302"	"positive regulation of synaptic vesicle ..."	10	1	0.08	"0.07415"
"GO:0006853"	"carnitine shuttle"	10	1	0.08	"0.07415"
"GO:0061299"	"retina vasculature morphogenesis in came..."	10	1	0.08	"0.07415"
"GO:0099171"	"presynaptic modulation of chemical synap..."	10	1	0.08	"0.07415"
"GO:0042448"	"progesterone metabolic process"	10	1	0.08	"0.07415"
"GO:0021930"	"cerebellar granule cell precursor prolif..."	10	1	0.08	"0.07415"
"GO:0018149"	"peptide cross-linking"	10	1	0.08	"0.07415"
"GO:0048486"	"parasympathetic nervous system developme..."	10	1	0.08	"0.07415"
"GO:0031125"	"rRNA 3'-end processing"	10	1	0.08	"0.07415"
"GO:0046348"	"amino sugar catabolic process"	10	1	0.08	"0.07415"
"GO:0030007"	"cellular potassium ion homeostasis"	10	1	0.08	"0.07415"
"GO:0014819"	"regulation of skeletal muscle contractio..."	10	1	0.08	"0.07415"
"GO:0047484"	"regulation of response to osmotic stress"	10	1	0.08	"0.07415"
"GO:0045342"	"MHC class II biosynthetic process"	10	1	0.08	"0.07415"
"GO:1902946"	"protein localization to early endosome"	10	1	0.08	"0.07415"
"GO:0051044"	"positive regulation of membrane protein ..."	10	1	0.08	"0.07415"
"GO:0051004"	"regulation of lipoprotein lipase activit..."	10	1	0.08	"0.07415"
"GO:0021871"	"forebrain regionalization"	10	1	0.08	"0.07415"
"GO:0072578"	"neurotransmitter-gated ion channel clust..."	10	1	0.08	"0.07415"
"GO:0048711"	"positive regulation of astrocyte differe..."	10	1	0.08	"0.07415"
"GO:0090030"	"regulation of steroid hormone biosynthet..."	10	1	0.08	"0.07415"
"GO:0043501"	"skeletal muscle adaptation"	10	1	0.08	"0.07415"
"GO:1901836"	"regulation of transcription of nucleolar..."	10	1	0.08	"0.07415"
"GO:0034380"	"high-density lipoprotein particle assemb..."	10	1	0.08	"0.07415"
"GO:0034309"	"primary alcohol biosynthetic process"	10	1	0.08	"0.07415"
"GO:0070206"	"protein trimerization"	10	1	0.08	"0.07415"
"GO:0045061"	"thymic T cell selection"	10	1	0.08	"0.07415"
"GO:0032354"	"response to follicle-stimulating hormone"	10	1	0.08	"0.07415"
"GO:2000644"	"regulation of receptor catabolic process"	10	1	0.08	"0.07415"
"GO:0010745"	"negative regulation of macrophage derive..."	10	1	0.08	"0.07415"
"GO:0031340"	"positive regulation of vesicle fusion"	10	1	0.08	"0.07415"
"GO:0060333"	"interferon-gamma-mediated signaling path..."	59	2	0.45	"0.07517"
"GO:0032507"	"maintenance of protein location in cell"	59	2	0.45	"0.07517"
"GO:0051173"	"positive regulation of nitrogen compound..."	2282	22	17.51	"0.07730"
"GO:0001938"	"positive regulation of endothelial cell ..."	61	2	0.47	"0.07962"
"GO:0035023"	"regulation of Rho protein signal transdu..."	61	2	0.47	"0.07962"
"GO:1900407"	"regulation of cellular response to oxida..."	61	3	0.47	"0.07981"
"GO:0048384"	"retinoic acid receptor signaling pathway"	23	2	0.18	"0.08045"
"GO:0006029"	"proteoglycan metabolic process"	75	2	0.58	"0.08080"
"GO:0010889"	"regulation of sequestering of triglyceri..."	11	1	0.08	"0.08126"
"GO:0072148"	"epithelial cell fate commitment"	11	1	0.08	"0.08126"
"GO:1900221"	"regulation of amyloid-beta clearance"	11	1	0.08	"0.08126"
"GO:0018158"	"protein oxidation"	11	1	0.08	"0.08126"
"GO:1904996"	"positive regulation of leukocyte adhesio..."	11	1	0.08	"0.08126"
"GO:0006590"	"thyroid hormone generation"	11	1	0.08	"0.08126"
"GO:0043201"	"response to leucine"	11	1	0.08	"0.08126"
"GO:0051014"	"actin filament severing"	11	1	0.08	"0.08126"
"GO:0045472"	"response to ether"	11	1	0.08	"0.08126"
"GO:2000251"	"positive regulation of actin cytoskeleto..."	11	1	0.08	"0.08126"
"GO:1902287"	"semaphorin-plexin signaling pathway invo..."	11	1	0.08	"0.08126"
"GO:0061042"	"vascular wound healing"	11	1	0.08	"0.08126"
"GO:1900543"	"negative regulation of purine nucleotide..."	11	1	0.08	"0.08126"
"GO:0045956"	"positive regulation of calcium ion-depen..."	11	1	0.08	"0.08126"
"GO:0010421"	"hydrogen peroxide-mediated programmed ce..."	11	1	0.08	"0.08126"
"GO:0002903"	"negative regulation of B cell apoptotic ..."	11	1	0.08	"0.08126"
"GO:0048712"	"negative regulation of astrocyte differe..."	11	1	0.08	"0.08126"
"GO:0043567"	"regulation of insulin-like growth factor..."	11	1	0.08	"0.08126"
"GO:0045723"	"positive regulation of fatty acid biosyn..."	11	1	0.08	"0.08126"
"GO:0046851"	"negative regulation of bone remodeling"	11	1	0.08	"0.08126"
"GO:0003085"	"negative regulation of systemic arterial..."	11	1	0.08	"0.08126"
"GO:0030208"	"dermatan sulfate biosynthetic process"	11	1	0.08	"0.08126"
"GO:0034599"	"cellular response to oxidative stress"	233	5	1.79	"0.08135"
"GO:0006874"	"cellular calcium ion homeostasis"	237	3	1.82	"0.08700"
"GO:0038084"	"vascular endothelial growth factor signa..."	24	2	0.18	"0.08744"
"GO:0050994"	"regulation of lipid catabolic process"	36	2	0.28	"0.08753"
"GO:0010977"	"negative regulation of neuron projection..."	125	3	0.96	"0.08784"
"GO:0030516"	"regulation of axon extension"	83	2	0.64	"0.08787"
"GO:0071404"	"cellular response to low-density lipopro..."	12	1	0.09	"0.08831"
"GO:0060039"	"pericardium development"	12	1	0.09	"0.08831"
"GO:0002693"	"positive regulation of cellular extravas..."	12	1	0.09	"0.08831"
"GO:0048385"	"regulation of retinoic acid receptor sig..."	12	1	0.09	"0.08831"
"GO:2001028"	"positive regulation of endothelial cell ..."	12	1	0.09	"0.08831"
"GO:0043931"	"ossification involved in bone maturation"	12	1	0.09	"0.08831"
"GO:1900746"	"regulation of vascular endothelial growt..."	12	1	0.09	"0.08831"
"GO:0021756"	"striatum development"	12	1	0.09	"0.08831"
"GO:0046184"	"aldehyde biosynthetic process"	12	1	0.09	"0.08831"
"GO:0021854"	"hypothalamus development"	12	1	0.09	"0.08831"
"GO:0061548"	"ganglion development"	12	1	0.09	"0.08831"
"GO:0055089"	"fatty acid homeostasis"	12	1	0.09	"0.08831"
"GO:0060977"	"coronary vasculature morphogenesis"	12	1	0.09	"0.08831"
"GO:1903010"	"regulation of bone development"	12	1	0.09	"0.08831"
"GO:0090023"	"positive regulation of neutrophil chemot..."	12	1	0.09	"0.08831"
"GO:1900373"	"positive regulation of purine nucleotide..."	12	1	0.09	"0.08831"
"GO:0071679"	"commissural neuron axon guidance"	12	1	0.09	"0.08831"
"GO:0033631"	"cell-cell adhesion mediated by integrin"	12	1	0.09	"0.08831"
"GO:0045722"	"positive regulation of gluconeogenesis"	12	1	0.09	"0.08831"
"GO:0008211"	"glucocorticoid metabolic process"	12	1	0.09	"0.08831"
"GO:0035864"	"response to potassium ion"	12	1	0.09	"0.08831"
"GO:0001759"	"organ induction"	12	1	0.09	"0.08831"
"GO:0051450"	"myoblast proliferation"	12	1	0.09	"0.08831"
"GO:0048532"	"anatomical structure arrangement"	12	1	0.09	"0.08831"
"GO:0019883"	"antigen processing and presentation of e..."	12	1	0.09	"0.08831"
"GO:0050857"	"positive regulation of antigen receptor-..."	12	1	0.09	"0.08831"
"GO:0009437"	"carnitine metabolic process"	12	1	0.09	"0.08831"
"GO:0030207"	"chondroitin sulfate catabolic process"	12	1	0.09	"0.08831"
"GO:2000573"	"positive regulation of DNA biosynthetic ..."	65	2	0.5	"0.08877"
"GO:0018209"	"peptidyl-serine modification"	249	2	1.91	"0.08912"
"GO:0016525"	"negative regulation of angiogenesis"	66	2	0.51	"0.09110"
"GO:0061448"	"connective tissue development"	172	6	1.32	"0.09134"
"GO:0001822"	"kidney development"	200	6	1.53	"0.09257"
"GO:0045655"	"regulation of monocyte differentiation"	13	1	0.1	"0.09531"
"GO:0097091"	"synaptic vesicle clustering"	13	1	0.1	"0.09531"
"GO:0070593"	"dendrite self-avoidance"	13	1	0.1	"0.09531"
"GO:0097067"	"cellular response to thyroid hormone sti..."	13	1	0.1	"0.09531"
"GO:0006012"	"galactose metabolic process"	13	1	0.1	"0.09531"
"GO:0010544"	"negative regulation of platelet activati..."	13	1	0.1	"0.09531"
"GO:0043117"	"positive regulation of vascular permeabi..."	13	1	0.1	"0.09531"
"GO:0070525"	"tRNA threonylcarbamoyladenosine metaboli..."	13	1	0.1	"0.09531"
"GO:0036303"	"lymph vessel morphogenesis"	13	1	0.1	"0.09531"
"GO:0042159"	"lipoprotein catabolic process"	13	1	0.1	"0.09531"
"GO:0010669"	"epithelial structure maintenance"	13	1	0.1	"0.09531"
"GO:0044794"	"positive regulation by host of viral pro..."	13	1	0.1	"0.09531"
"GO:0051000"	"positive regulation of nitric-oxide synt..."	13	1	0.1	"0.09531"
"GO:1990000"	"amyloid fibril formation"	13	1	0.1	"0.09531"
"GO:0010447"	"response to acidic pH"	13	1	0.1	"0.09531"
"GO:0055012"	"ventricular cardiac muscle cell differen..."	13	1	0.1	"0.09531"
"GO:0035791"	"platelet-derived growth factor receptor-..."	13	1	0.1	"0.09531"
"GO:0031000"	"response to caffeine"	13	1	0.1	"0.09531"
"GO:0043518"	"negative regulation of DNA damage respon..."	13	1	0.1	"0.09531"
"GO:0007263"	"nitric oxide mediated signal transductio..."	13	1	0.1	"0.09531"
"GO:0015693"	"magnesium ion transport"	13	1	0.1	"0.09531"
"GO:0050855"	"regulation of B cell receptor signaling ..."	13	1	0.1	"0.09531"
"GO:1902644"	"tertiary alcohol metabolic process"	13	1	0.1	"0.09531"
"GO:0006641"	"triglyceride metabolic process"	56	3	0.43	"0.10040"
"GO:0042157"	"lipoprotein metabolic process"	108	2	0.83	"0.10195"
"GO:0072111"	"cell proliferation involved in kidney de..."	14	1	0.11	"0.10226"
"GO:0055119"	"relaxation of cardiac muscle"	14	1	0.11	"0.10226"
"GO:1902430"	"negative regulation of amyloid-beta form..."	14	1	0.11	"0.10226"
"GO:0048485"	"sympathetic nervous system development"	14	1	0.11	"0.10226"
"GO:1902932"	"positive regulation of alcohol biosynthe..."	14	1	0.11	"0.10226"
"GO:0019934"	"cGMP-mediated signaling"	14	1	0.11	"0.10226"
"GO:2000726"	"negative regulation of cardiac muscle ce..."	14	1	0.11	"0.10226"
"GO:0032042"	"mitochondrial DNA metabolic process"	14	1	0.11	"0.10226"
"GO:0032802"	"low-density lipoprotein particle recepto..."	14	1	0.11	"0.10226"
"GO:0032516"	"positive regulation of phosphoprotein ph..."	14	1	0.11	"0.10226"
"GO:2001169"	"regulation of ATP biosynthetic process"	14	1	0.11	"0.10226"
"GO:0086013"	"membrane repolarization during cardiac m..."	14	1	0.11	"0.10226"
"GO:0006123"	"mitochondrial electron transport, cytoch..."	14	1	0.11	"0.10226"
"GO:0021602"	"cranial nerve morphogenesis"	14	1	0.11	"0.10226"
"GO:0031643"	"positive regulation of myelination"	14	1	0.11	"0.10226"
"GO:0071248"	"cellular response to metal ion"	132	3	1.01	"0.10679"
"GO:0098693"	"regulation of synaptic vesicle cycle"	93	3	0.71	"0.10750"
"GO:0031338"	"regulation of vesicle fusion"	25	2	0.19	"0.10807"
"GO:0045893"	"positive regulation of transcription, DN..."	1102	13	8.45	"0.10835"
"GO:0045766"	"positive regulation of angiogenesis"	100	3	0.77	"0.10872"
"GO:2000352"	"negative regulation of endothelial cell ..."	15	1	0.12	"0.10916"
"GO:0035640"	"exploration behavior"	15	1	0.12	"0.10916"
"GO:1900242"	"regulation of synaptic vesicle endocytos..."	15	1	0.12	"0.10916"
"GO:1902166"	"negative regulation of intrinsic apoptot..."	15	1	0.12	"0.10916"
"GO:1902170"	"cellular response to reactive nitrogen s..."	15	1	0.12	"0.10916"
"GO:0003417"	"growth plate cartilage development"	15	1	0.12	"0.10916"
"GO:0019433"	"triglyceride catabolic process"	15	1	0.12	"0.10916"
"GO:0050996"	"positive regulation of lipid catabolic p..."	15	1	0.12	"0.10916"
"GO:0042744"	"hydrogen peroxide catabolic process"	15	1	0.12	"0.10916"
"GO:0050951"	"sensory perception of temperature stimul..."	15	1	0.12	"0.10916"
"GO:0015721"	"bile acid and bile salt transport"	15	1	0.12	"0.10916"
"GO:0071577"	"zinc ion transmembrane transport"	15	1	0.12	"0.10916"
"GO:0071542"	"dopaminergic neuron differentiation"	15	1	0.12	"0.10916"
"GO:0090050"	"positive regulation of cell migration in..."	15	1	0.12	"0.10916"
"GO:0016048"	"detection of temperature stimulus"	15	1	0.12	"0.10916"
"GO:0009620"	"response to fungus"	15	1	0.12	"0.10916"
"GO:0046716"	"muscle cell cellular homeostasis"	15	1	0.12	"0.10916"
"GO:0002828"	"regulation of type 2 immune response"	15	1	0.12	"0.10916"
"GO:0033993"	"response to lipid"	566	10	4.34	"0.10974"
"GO:0050796"	"regulation of insulin secretion"	122	3	0.94	"0.11150"
"GO:0051091"	"positive regulation of DNA-binding trans..."	189	3	1.45	"0.11259"
"GO:0050853"	"B cell receptor signaling pathway"	29	2	0.22	"0.11488"
"GO:0007229"	"integrin-mediated signaling pathway"	76	2	0.58	"0.11536"
"GO:0022904"	"respiratory electron transport chain"	95	2	0.73	"0.11551"
"GO:0045577"	"regulation of B cell differentiation"	16	1	0.12	"0.11600"
"GO:0010884"	"positive regulation of lipid storage"	16	1	0.12	"0.11600"
"GO:0006706"	"steroid catabolic process"	16	1	0.12	"0.11600"
"GO:0014850"	"response to muscle activity"	16	1	0.12	"0.11600"
"GO:0031290"	"retinal ganglion cell axon guidance"	16	1	0.12	"0.11600"
"GO:0070633"	"transepithelial transport"	16	1	0.12	"0.11600"
"GO:0060384"	"innervation"	16	1	0.12	"0.11600"
"GO:0032733"	"positive regulation of interleukin-10 pr..."	16	1	0.12	"0.11600"
"GO:0042755"	"eating behavior"	16	1	0.12	"0.11600"
"GO:0035116"	"embryonic hindlimb morphogenesis"	16	1	0.12	"0.11600"
"GO:0048791"	"calcium ion-regulated exocytosis of neur..."	16	1	0.12	"0.11600"
"GO:0006953"	"acute-phase response"	16	1	0.12	"0.11600"
"GO:0048566"	"embryonic digestive tract development"	16	1	0.12	"0.11600"
"GO:0008209"	"androgen metabolic process"	16	1	0.12	"0.11600"
"GO:0043368"	"positive T cell selection"	16	1	0.12	"0.11600"
"GO:0061440"	"kidney vasculature development"	16	1	0.12	"0.11600"
"GO:0043542"	"endothelial cell migration"	149	6	1.14	"0.11749"
"GO:0030335"	"positive regulation of cell migration"	355	7	2.72	"0.11843"
"GO:0070555"	"response to interleukin-1"	145	2	1.11	"0.12277"
"GO:0010888"	"negative regulation of lipid storage"	17	1	0.13	"0.12279"
"GO:0001516"	"prostaglandin biosynthetic process"	17	1	0.13	"0.12279"
"GO:0097062"	"dendritic spine maintenance"	17	1	0.13	"0.12279"
"GO:0051016"	"barbed-end actin filament capping"	17	1	0.13	"0.12279"
"GO:0019430"	"removal of superoxide radicals"	17	1	0.13	"0.12279"
"GO:0060914"	"heart formation"	17	1	0.13	"0.12279"
"GO:0042060"	"wound healing"	324	5	2.49	"0.12280"
"GO:0043010"	"camera-type eye development"	229	5	1.76	"0.12359"
"GO:0030278"	"regulation of ossification"	140	4	1.07	"0.12665"
"GO:0019915"	"lipid storage"	58	3	0.44	"0.12719"
"GO:1990830"	"cellular response to leukemia inhibitory..."	81	2	0.62	"0.12804"
"GO:0021983"	"pituitary gland development"	18	1	0.14	"0.12953"
"GO:0031998"	"regulation of fatty acid beta-oxidation"	18	1	0.14	"0.12953"
"GO:0014829"	"vascular associated smooth muscle contra..."	18	1	0.14	"0.12953"
"GO:0090201"	"negative regulation of release of cytoch..."	18	1	0.14	"0.12953"
"GO:0045987"	"positive regulation of smooth muscle con..."	18	1	0.14	"0.12953"
"GO:2000773"	"negative regulation of cellular senescen..."	18	1	0.14	"0.12953"
"GO:0048026"	"positive regulation of mRNA splicing, vi..."	18	1	0.14	"0.12953"
"GO:0086012"	"membrane depolarization during cardiac m..."	18	1	0.14	"0.12953"
"GO:0007271"	"synaptic transmission, cholinergic"	18	1	0.14	"0.12953"
"GO:0043491"	"protein kinase B signaling"	160	2	1.23	"0.12966"
"GO:0019882"	"antigen processing and presentation"	172	2	1.32	"0.12979"
"GO:0030593"	"neutrophil chemotaxis"	35	2	0.27	"0.13495"
"GO:0051170"	"import into nucleus"	138	2	1.06	"0.13609"
"GO:1900745"	"positive regulation of p38MAPK cascade"	19	1	0.15	"0.13622"
"GO:0010640"	"regulation of platelet-derived growth fa..."	19	1	0.15	"0.13622"
"GO:0032715"	"negative regulation of interleukin-6 pro..."	19	1	0.15	"0.13622"
"GO:1903579"	"negative regulation of ATP metabolic pro..."	19	1	0.15	"0.13622"
"GO:0019730"	"antimicrobial humoral response"	19	1	0.15	"0.13622"
"GO:0014912"	"negative regulation of smooth muscle cel..."	19	1	0.15	"0.13622"
"GO:0002068"	"glandular epithelial cell development"	19	1	0.15	"0.13622"
"GO:0071456"	"cellular response to hypoxia"	167	3	1.28	"0.13671"
"GO:0045123"	"cellular extravasation"	39	2	0.3	"0.14157"
"GO:0090322"	"regulation of superoxide metabolic proce..."	20	1	0.15	"0.14286"
"GO:0014059"	"regulation of dopamine secretion"	20	1	0.15	"0.14286"
"GO:0090140"	"regulation of mitochondrial fission"	20	1	0.15	"0.14286"
"GO:0003181"	"atrioventricular valve morphogenesis"	20	1	0.15	"0.14286"
"GO:0045943"	"positive regulation of transcription by ..."	20	1	0.15	"0.14286"
