pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.340340614812784	0.544544983700454	-0.22614249034287	-1.08678349228036	11170	48	ENDOD1 TIPARP PMAIP1 TPD52L1 RHOBTB3 THSD4 FHL2 SLC26A2 DHRS3 NAV2 IL6ST
HALLMARK_ESTROGEN_RESPONSE_LATE	0.585958976527807	0.732839923873969	-0.195454900808635	-0.90720515456989	19396	42	NAB2 ASCL1 PCP4 TPD52L1 SLC26A2 SERPINA3 IL6ST ACOX2
HALLMARK_ANDROGEN_RESPONSE	0.100502062040524	0.209743433823701	-0.324756460438858	-1.41393554197296	3362	33	ABCC4 ACSL3 ARID5B SLC26A2 ITGAV GPD1L NCOA4 HOMER2 ELK4 HMGCR DBI NGLY1 PGM3 ZMIZ1 ELL2
HALLMARK_MYOGENESIS	0.0683760683760684	0.193061840120664	-0.343044255736962	-1.49355755694804	2287	33	GPX3 PTP4A3 RIT1 IFRD1 TPD52L1 NAV2 EIF4A2 AGL SLN ENO3 FKBP1B CLU ABLIM1 SPARC
HALLMARK_PROTEIN_SECRETION	0.087398434037524	0.199767849228626	-0.354073771848728	-1.45895535398425	2957	27	CLCN3 ABCA1 SCRN1 STX7 ATP6V1H SH3GL2 USO1 LAMP2 RAB5A ARCN1 M6PR COPB1 TSG101 CLTC COG2 SNX2 DNM1L COPB2 RAB14
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.507872574148664	0.696510958832453	0.25054588363402	0.960293093903363	20804	23	CD74 IFI44
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.610699936561641	0.732839923873969	-0.191712548991764	-0.889835005013995	20215	42	NAMPT ICAM1 ARID5B CD38 NLRC5 PDE4B ST8SIA4 C1S
HALLMARK_APICAL_JUNCTION	0.0990947495473748	0.209743433823701	-0.302230464025735	-1.39489841279846	3283	41	CADM2 COL16A1 CDH6 ICAM1 SGCE MAPK14 ADAM9 CDH4
HALLMARK_HEDGEHOG_SIGNALING	0.0380758652303461	0.154573028464769	-0.539661794928379	-1.66991542819431	1328	11	NRP1 NRP2 VLDLR
HALLMARK_COMPLEMENT	0.728282737290935	0.794490258862838	-0.178821049758913	-0.802204294958233	24253	37	ADAM9 BRPF3 PPP2CB C1S USP8 CTSL PLAT LAMP2 FN1 USP16 CLU SERPINB2 AKAP10 CPM
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.556574109907121	0.722042088528157	0.222711557984227	0.929784005251301	23010	31	LSM1 RPS14 CKS1B SPCS1 PARN
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.791655522867077	0.844432557724882	0.187272086913668	0.743581441701466	32559	26	ARPC3 E2F1 EGFR RAC1 CSNK2B CXCR4 STAT2 TSC2 CDK2 AKT1 TIAM1
HALLMARK_MTORC1_SIGNALING	3.06729648487823e-05	0.00147230231274155	-0.482765078483261	-2.44191000732799	0	59	BCAT1 HSPD1 NAMPT IDH1 SLC2A3 DDIT4 ACSL3 CCNG1 RAB1A RIT1 IFRD1 COPS5 PSMC6 VLDLR CANX
HALLMARK_E2F_TARGETS	0.0305678896938537	0.146725870530498	0.300423686954536	1.52823661805066	1307	69	CKS2 PTTG1 RPA3 CKS1B STMN1 SNRPB CHEK2 UBE2T CHEK1 NUP153 PCNA CDKN3 TIPIN POP7 PLK1 E2F8 NCAPD2 TP53 CDKN2A H2AFZ MCM2 BIRC5 DCTPP1 DEK CDCA3 KIF22 TUBB PAN2 AURKB CSE1L UNG CCNB2 MELK H2AFX SRSF2 ASF1A MCM5 GSPT1 ASF1B RNASEH2A MCM4 ING3 DONSON CBX5 POLE4 DIAPH3 TCF19 ESPL1 LMNB1
HALLMARK_MYC_TARGETS_V1	0.187020621871125	0.332481105548666	0.223213607381027	1.20698286080866	8143	91	SNRPG SNRPD2 RPL34 ERH RPS3 RPL14 RPS10 PSMA2 RPL18 PRDX3 PSMB2 EEF1B2 COX5A PCNA SNRPB2 VDAC3
HALLMARK_MYC_TARGETS_V2	0.677302689144257	0.769007531865904	-0.220127079426908	-0.816887367444908	23221	19	HSPD1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.688902580629873	0.769007531865904	0.180172247842398	0.847944498602582	29070	49	FBLN5 COL1A2 LOX COL8A2 GJA1 FBLN2 NOTCH2 COL6A2 CAPG MMP14
HALLMARK_INFLAMMATORY_RESPONSE	0.0493608478729372	0.173322005097706	-0.389597349707314	-1.58690701609821	1671	26	NAMPT CSF1 ICAM1 CD82 ABCA1 PDE4B HRH1 ATP2A2
HALLMARK_XENOBIOTIC_METABOLISM	0.0114491133734103	0.0915929069872821	-0.385424080880425	-1.78894830174878	378	42	BCAT1 IDH1 MTHFD1 CBR1 PROS1 SMOX SLC35D1 APOE TGFB2 ACOX2 ATP2A2
HALLMARK_FATTY_ACID_METABOLISM	0.0552202776101388	0.176704888352444	-0.328234880346658	-1.51491781312178	1829	41	CPT1A IDH1 CBR1 HADHB HSPH1 HSDL2 APEX1 DLD SUCLA2 RAP1GDS1 ACOT8 ALAD REEP6 ENO3 RDH11 CBR3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00619144791763287	0.0678609189499441	0.324992969264454	1.70430530679738	266	79	UQCRQ COX7B NDUFA4 NDUFA2 NDUFB1 NDUFB6 COX7A2 NDUFS4 MGST3 COX17 NDUFA7 NDUFA3 COX7C PRDX3 ATP1B1 COX5A NDUFC1 UQCR10 VDAC3 SUPV3L1 NDUFS3 TIMM9 COX6C CYCS UQCRH
HALLMARK_GLYCOLYSIS	0.484172683788807	0.696510958832453	-0.204340376006093	-0.982008056571249	15891	48	IDH1 DDIT4 CAPN5 VLDLR DLD PPP2CB UGP2 TALDO1 AGL PLOD2 GLCE HS2ST1 CTH
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.1232809993124	0.246561998624799	-0.456345608310604	-1.41210398636378	4302	11	GPX3
HALLMARK_P53_PATHWAY	0.539690816514324	0.719587755352432	-0.187095834430095	-0.946363377938635	17594	59	DDIT4 CCNG1 CD82 TPD52L1 SESN1 LDHB PLK3 BMP2 MKNK2 SLC35D1 CSRNP2 FBXW7 DNTTIP2 TAX1BP3 RRP8
HALLMARK_UV_RESPONSE_UP	0.0269787440198631	0.143886634772603	-0.34832406908685	-1.63584953345296	890	44	GPX3 ABCB1 HSPA13 AMD1 EIF5 ICAM1 NXF1 ATP6V1C1 BMP2 IL6ST DDX21 TARS STIP1
HALLMARK_UV_RESPONSE_DN	0.0601246671508109	0.180374001452433	-0.319380923389785	-1.49164110867579	1986	43	NRP1 MMP16 MAPK14 FHL2 COL5A2 VLDLR TFPI ATRX
HALLMARK_ANGIOGENESIS	0.080662347012239	0.193589632829374	-0.474360062014688	-1.51172522822142	2800	12	NRP1 COL5A2 ITGAV
HALLMARK_HEME_METABOLISM	0.497809866175271	0.696510958832453	-0.208596069628432	-0.968199972510351	16478	42	CLCN3 ENDOD1 MARK3 SMOX KDM7A FN3K ALAD LMO2 CIR1 NCOA4 RNF19A LAMP2 TOP1
HALLMARK_COAGULATION	0.0230603638937218	0.138362183362331	-0.431377608958098	-1.73576093219422	781	25	CFI CAPN5 A2M ADAM9 PROS1 C1S ACOX2 MMP2 PLAT LAMP2 FN1 CLU SERPINB2 SPARC
HALLMARK_IL2_STAT5_SIGNALING	0.00706884572395251	0.0678609189499441	-0.399185805385472	-1.85282343281532	233	42	NRP1 ABCB1 SLC2A3 CSF1 SWAP70 SCN9A BMP2 DHRS3 CD83 ITGAV
HALLMARK_BILE_ACID_METABOLISM	0.0386432571161923	0.154573028464769	-0.458474888744533	-1.6706966210082	1324	18	IDH1 PIPOX ABCA1 HSD3B7 PNPLA8 BBOX1
HALLMARK_PEROXISOME	0.0742521994134897	0.193589632829374	-0.389892911273024	-1.51123767592402	2531	22	ABCB1 IDH1 PEX11B HSD3B7 DHRS3 ACOT8
HALLMARK_ALLOGRAFT_REJECTION	0.0795515375007435	0.193589632829374	-0.346194277361109	-1.46858499111205	2674	30	BCAT1 CSF1 ICAM1
HALLMARK_SPERMATOGENESIS	0.212141982864137	0.351131557844089	0.333631934970699	1.24335402095381	8665	21	GSTM3 MLF1 VDAC3 CDKN3 PCSK1N TLE4 CNIH2 RAD17 ARL4A CCNB2 TOPBP1 CHRM4 NCAPH
HALLMARK_KRAS_SIGNALING_UP	0.000390425563864612	0.0093702135327507	-0.499109529146596	-2.20513997334891	12	35	NRP1 SNAP25 ABCB1 PCP4 PEG3 MTMR10 BMP2 TFPI SERPINA3 GPNMB EPB41L3
HALLMARK_KRAS_SIGNALING_DN	0.967477668657158	0.967477668657158	0.151275648769723	0.508298166592601	39207	15	YPEL1 TFAP2B CELSR2 TEX15 COL2A1 KCNQ2 THNSL2
