#Gene Symbol	Entrez ID	Genome-Wide Association Studies	CNV/SV Studies	Linkage Analyses	Low-Scale Genetic Association Studies	Expression Profilings	NGS de novo Mutation Studies	NGS Mosaic Mutation Studies	NGS Other Studies	Low-Scale Gene Studies	total score
WDFY3	23001	0	0	1	0	0	2	0	1	0	30
SRGAP3	9901	0	0	1	0	0	2	0	1	0	30
HLA-DRB1	3123	0	1	0	3	1	0	0	0	2	29
RAB39B	116442	0	1	0	0	1	0	0	2	1	29
RBFOX1	54715	0	1	2	0	2	0	0	0	2	28
MED13L	23389	0	1	0	0	0	1	0	2	0	28
DMD	1756	2	2	0	0	0	0	0	2	0	28
TRIP12	9320	0	0	1	0	0	1	0	2	0	28
LRP2	4036	1	0	2	0	0	2	0	0	0	28
PTPN11	5781	0	0	0	0	0	2	0	1	0	28
CTNNA3	29119	2	1	0	0	0	0	1	2	0	27
FLNA	2316	0	0	0	0	0	1	0	2	0	26
RAPGEF4	11069	0	0	2	1	0	0	0	0	2	26
APBA2	321	0	2	1	0	0	1	0	0	1	26
UBE3A	7337	0	2	0	1	1	0	0	1	1	25
AHI1	54806	0	0	1	1	3	1	0	1	0	25
ATP13A4	84239	0	1	1	0	0	0	0	0	2	24
GABRA2	2555	0	1	0	1	0	2	0	0	0	24
COPS2	9318	0	1	1	0	0	2	0	0	0	24
AVPR1A	552	0	0	0	2	0	0	0	0	2	24
ABCA13	154664	0	1	1	0	0	2	0	0	0	24
DRD3	1814	2	1	1	1	0	0	0	0	1	24
C3	718	0	0	1	0	2	2	0	0	0	24
ZNF804A	91752	0	1	1	0	0	2	0	0	0	24
PAX6	5080	0	1	1	0	0	0	0	0	2	24
TRAF7	84231	0	1	1	0	0	2	0	0	0	24
NTF3	4908	0	1	0	1	0	0	0	0	2	24
MICAL3	57553	0	1	1	0	0	2	0	0	0	24
DUSP3	1845	0	1	0	1	0	2	0	0	0	24
LZTR1	8216	0	1	1	0	0	2	0	0	0	24
MAP2K1	5604	0	1	0	0	2	2	0	0	0	24
CACNA1C	775	0	1	0	1	0	1	1	1	0	23
ADGRV1	84059	0	1	0	0	1	1	0	0	1	23
ACHE	43	0	0	1	0	1	2	0	0	0	23
APOB	338	0	0	1	0	1	2	0	0	0	23
ATP1A3	478	0	1	0	0	1	2	0	0	0	23
MYO15A	51168	0	1	0	0	0	2	1	0	0	23
KCNS1	3787	0	0	1	0	1	2	0	0	0	23
MEF2C	4208	0	1	0	0	0	2	1	0	0	23
GABRG2	2566	0	0	0	0	2	2	1	0	0	23
ABCC5	10057	0	0	1	0	1	2	0	0	0	23
UPF1	5976	0	0	1	0	0	2	0	0	0	22
CACNA1H	8912	0	0	1	0	0	1	0	0	1	22
ACTB	60	0	1	0	0	0	2	0	0	0	22
SIN3A	25942	0	1	0	0	0	2	0	0	0	22
MDC1	9656	0	1	0	0	0	2	0	0	0	22
EIF4E	1977	0	0	1	0	0	1	0	0	1	22
GNAI1	2770	0	1	0	0	0	2	0	0	0	22
SCNN1G	6340	0	1	0	0	0	2	0	0	0	22
C7orf43	55262	0	0	1	0	0	2	0	0	0	22
TBL1XR1	79718	0	0	1	0	0	1	0	0	1	22
IQUB	154865	0	0	1	0	0	2	0	0	0	22
LRP5	4041	0	1	0	0	0	2	0	0	0	22
TM9SF4	9777	0	0	1	0	0	2	0	0	0	22
FASN	2194	0	0	1	0	0	2	0	0	0	22
NLGN2	57555	0	0	1	0	0	2	0	0	0	22
BCKDK	10295	0	2	0	0	0	0	0	1	1	22
POLR2A	5430	0	0	1	0	0	2	0	0	0	22
MBD1	4152	0	0	1	0	0	0	0	0	2	22
IGSF9B	22997	0	1	0	0	0	2	0	0	0	22
GRPR	2925	0	1	0	0	0	0	0	0	2	22
LRRC4	64101	0	0	1	0	0	2	0	0	0	22
TRRAP	8295	0	0	1	0	0	2	0	0	0	22
PKDREJ	10343	0	1	0	0	0	2	0	0	0	22
SRBD1	55133	0	1	0	0	0	2	0	0	0	22
KIAA1217	56243	0	0	1	0	0	2	0	0	0	22
SETD5	55209	0	0	1	0	0	2	0	0	0	22
TMC4	147798	0	1	1	0	0	1	0	1	0	22
GATA4	2626	0	1	0	0	0	2	0	0	0	22
ACACA	31	0	1	0	0	0	1	0	0	1	22
PRKD1	5587	0	0	1	0	0	2	0	0	0	22
TTN	7273	0	0	1	0	0	2	0	0	0	22
MYO1E	4643	0	1	1	0	0	1	0	1	0	22
RPL35	11224	0	0	1	0	0	2	0	0	0	22
MPDZ	8777	0	1	0	0	0	2	0	0	0	22
PIK3CA	5290	0	0	1	0	0	2	0	0	0	22
TCTN2	79867	0	1	0	0	0	2	0	0	0	22
PBX1	5087	0	0	1	0	0	2	0	0	0	22
ABCA7	10347	0	0	1	0	0	1	0	0	1	22
MYH9	4627	0	1	0	0	0	2	0	0	0	22
TGM1	7051	0	0	1	0	0	2	0	0	0	22
TRIO	7204	0	1	0	0	0	1	0	0	1	22
KIAA2022	340533	0	1	0	0	0	0	0	0	2	22
NOC2L	26155	0	1	0	0	0	2	0	0	0	22
ZNF423	23090	0	1	0	0	0	2	0	0	0	22
VCP	7415	0	1	0	0	0	2	0	0	0	22
SFTPD	6441	0	0	1	0	0	2	0	0	0	22
RTN4RL1	146760	0	1	0	0	0	2	0	0	0	22
SRRM2	23524	0	0	1	0	0	2	0	0	0	22
KLHL14	57565	0	0	1	0	0	2	0	0	0	22
XPO5	57510	0	1	0	0	0	2	0	0	0	22
REST	5978	0	1	0	0	0	2	0	0	0	22
EXT1	2131	0	0	0	0	0	1	2	0	1	22
SACS	26278	0	0	1	0	0	2	0	0	0	22
MEF2D	4209	0	0	0	0	0	2	1	0	0	21
MIB1	57534	0	1	0	0	1	1	0	1	0	21
CD163L1	283316	0	1	0	0	1	1	0	1	0	21
RAB11FIP5	26056	0	0	0	0	1	1	0	0	1	21
RGS12	6002	0	0	0	0	1	2	0	0	0	21
SLC30A5	64924	0	0	0	0	1	2	0	0	0	21
GRIA1	2890	0	0	0	0	1	2	0	0	0	21
NR2F1	7025	0	0	0	0	1	2	0	0	0	21
DYNC1H1	1778	0	0	0	0	0	2	1	0	0	21
DSCAM	1826	0	1	0	0	0	1	1	1	0	21
ANTXR1	84168	0	0	0	0	1	2	0	0	0	21
TNRC6A	27327	0	0	0	0	1	2	0	0	0	21
P4HA2	8974	0	0	0	0	1	2	0	0	0	21
FN1	2335	0	0	0	0	1	2	0	0	0	21
AHRR	57491	0	0	0	0	1	2	0	0	0	21
GNB1L	54584	1	2	1	0	0	0	0	0	1	20
SLC39A5	283375	0	0	0	0	0	2	0	0	0	20
AP3B2	8120	0	1	0	0	0	1	0	1	0	20
SCN1A	6323	0	0	0	0	2	0	0	1	1	20
SNX5	27131	0	0	0	0	0	2	0	0	0	20
KCNQ3	3786	0	0	0	0	0	1	0	0	1	20
ASH1L	55870	0	1	0	0	0	1	0	1	0	20
SOAT1	6646	0	0	0	0	0	2	0	0	0	20
ITPR1	3708	0	0	0	0	2	1	0	1	0	20
GPS1	2873	0	0	1	0	0	1	0	1	0	20
CSMD3	114788	0	0	0	0	0	1	0	0	1	20
PCDHB16	57717	0	0	0	0	0	2	0	0	0	20
MBD5	55777	0	1	0	0	0	1	0	1	0	20
GABRA5	2558	0	3	0	1	2	0	0	0	1	20
VPS13B	157680	0	0	0	0	0	1	0	0	1	20
KDM5B	10765	0	0	0	0	0	2	0	0	0	20
SLC34A1	6569	0	0	0	0	0	2	0	0	0	20
CHRND	1144	0	0	0	0	0	2	0	0	0	20
DEAF1	10522	0	0	0	0	0	1	0	0	1	20
PIWIL4	143689	0	0	0	0	0	2	0	0	0	20
DENR	8562	0	0	0	0	0	2	0	0	0	20
DNAH5	1767	0	0	0	0	0	2	0	0	0	20
IL1RAPL1	11141	0	1	0	0	0	0	0	1	1	20
ACAD10	80724	0	0	0	0	0	2	0	0	0	20
JMJD1C	221037	0	0	0	0	0	0	0	0	2	20
HRAS	3265	0	0	0	0	0	0	0	0	2	20
DENND5A	23258	0	0	0	0	0	2	0	0	0	20
ARHGAP32	9743	0	1	0	0	0	1	0	1	0	20
NFIA	4774	0	0	0	0	0	2	0	0	0	20
KCND3	3752	0	0	0	0	0	1	0	0	1	20
SHANK2	22941	0	1	0	0	0	0	0	1	1	20
TUBA1A	7846	0	0	0	0	0	2	0	0	0	20
STAT2	6773	0	0	0	0	0	2	0	0	0	20
MXRA5	25878	0	1	0	0	0	1	0	1	0	20
GAD1	2571	0	0	2	2	1	0	0	0	1	19
DNAH17	8632	0	0	0	0	0	1	1	1	0	19
DNAH10	196385	0	0	0	0	0	1	1	1	0	19
RYR2	6262	1	1	1	0	1	1	0	0	0	19
CYFIP1	23191	0	3	0	1	1	0	0	0	1	19
FAM45A	404636	0	0	0	0	0	1	0	1	0	18
CDK14	5218	1	1	0	0	2	1	0	0	0	18
CUL3	8452	0	0	0	0	0	0	0	1	1	18
HTR2A	3356	0	1	0	3	0	0	0	0	1	18
SRPR	6734	0	0	0	0	0	1	0	1	0	18
NSD1	64324	0	0	0	0	0	1	0	1	0	18
TRPV4	59341	0	0	0	0	0	1	0	1	0	18
NF1	4763	0	1	2	2	0	0	0	1	0	18
SETD2	29072	0	0	0	0	0	0	0	1	1	18
CNTN4	152330	1	1	0	1	0	0	0	0	1	18
FEZF1	389549	2	0	1	0	0	0	0	1	0	18
MYH11	4629	1	1	1	0	0	1	0	0	0	18
CHD7	55636	0	0	0	0	0	1	0	1	0	18
TSC1	7248	0	0	0	0	0	0	0	1	1	18
LRFN5	145581	2	0	0	0	0	1	0	0	0	18
NHS	4810	0	1	0	0	0	0	0	2	0	18
DISC1	27185	0	1	0	2	0	0	1	0	1	17
BIRC6	57448	0	0	0	0	0	0	1	2	0	17
PRKCB1	5579	0	0	0	2	3	0	0	0	1	17
SPON2	10417	0	1	1	0	3	1	0	0	0	17
